sequence,v115@DhB8IeB8GeC8FeE8JeXLYaAFLDmClcJSAVDEHBEooR?BToAVBv/TFDU+AAAvhFzpBOpB6tB0mBlqBxuB,v115@DhB8IeB8GeC8FeE8JeXLYaAFLDmClcJSAVDEHBEooR?BToAVBvCmFDK+AAAvhFTpB6oB1mBMqB2uBRvB,v115@DhB8IeB8GeC8FeE8Je1OYaAFLDmClcJSAVDEHBEooR?BUoAVBpiLuCKHBAAvhFxqB6oB0hBXgBOkBzqB,v115@DhB8IeB8GeC8FeE8JeXLYaAFLDmClcJSAVDEHBEooR?BToAVBK+TFDUHBAAvhFWqBZkB6oB0mB1qBzpB,v115@DhB8IeB8GeC8FeE8Je0KYaAFLDmClcJSAVDEHBEooR?BaoAVB0SltCKHBAAvhF1uB6tBRrBXlBOpBTrB,v115@DhB8IeB8GeC8FeE8JeXLYaAFLDmClcJSAVDEHBEooR?BToAVB0izPCJHBAAvhF1uB6tB0mBOpBRqBTqB,v115@DhB8IeB8GeC8FeE8JeTJYaAFLDmClcJSAVDEHBEooR?BPoAVBaN8LC0/AAAvhF0qB3mB6oBxpBFmBmpB,v115@DhB8IeB8GeC8FeE8Je3JYaAFLDmClcJSAVDEHBEooR?BToAVB0izPCJHBAAvhFFrB6oB0hBOkBRqBTqB,v115@DhB8IeB8GeC8FeE8Je2OYaAFLDmClcJSAVDEHBEooR?BKoAVBpiLuCUHBAAvhFxqB6oB0hB/kBFlBzqB,v115@DhB8IeB8GeC8FeE8Je1OYaAFLDmClcJSAVDEHBEooR?BUoAVBzXUPCP+AAAvhF3mBUlB6oBOkBzqBxvB,v115@DhB8IeB8GeC8FeE8Je2OYaAFLDmClcJSAVDEHBEooR?BKoAVBpC+tCaHBAAvhFxqB6oB1mB/kBUlBzqB,v115@DhB8IeB8GeC8FeE8JeXLYaAFLDmClcJSAVDEHBEooR?BToAVBqijxCP+AAAvhFmpB6oB0hBllBTpBxuB,v115@DhB8IeB8GeC8FeE8JeTJYaAFLDmClcJSAVDEHBEooR?BPoAVB0izPCT+AAAvhFFrB6oB0hBmkB3qBxuB,v115@DhB8IeB8GeC8FeE8JezKYaAFLDmClcJSAVDEHBEooR?BPoAVBz/DxCa+AAAvhFXlBOpB6oBlmB0pBxvB,v115@DhB8IeB8GeC8FeE8JezJYaAFLDmClcJSAVDEHBEooR?BPoAVB6/DxCT+AAAvhF0lBOpB6oBlmBXrBxuB,v115@DhB8IeB8GeC8FeE8Je0KYaAFLDmClcJSAVDEHBEooR?BaoAVBqSltCUHBAAvhF2uB6tBRrB/pBFlBTrB,v115@DhB8IeB8GeC8FeE8JezKYaAFLDmClcJSAVDEHBEooR?BPoAVBzCmFDK+AAAvhFXlB6oBlmBMkB2uBxvB,v115@DhB8IeB8GeC8FeE8JeXLYaAFLDmClcJSAVDEHBEooR?BToAVBpyaFD0/AAAvhFxpB6oBTpB0mB1qBmpB,v115@DhB8IeB8GeC8FeE8JezJYaAFLDmClcJSAVDEHBEooR?BPoAVBpCmPCaNBAAvhFZkB6oBlmBWlB0lBXrB,v115@DhB8IeB8GeC8FeE8JezJYaAFLDmClcJSAVDEHBEooR?BPoAVBpCmPCzXBAAvhFZkB6oBlmBWlBXmB0qB,v115@DhB8IeB8GeC8FeE8JeRPYaAFLDmClcJSAVDEHBEooR?BJoAVB6CegCz/AAAvhF0kB6oBlmBTgBXmBOpB,v115@DhB8IeB8GeC8FeE8JezJYaAFLDmClcJSAVDEHBEooR?BPoAVBseltCqXBAAvhF6oBlmBxkBXmBOpB0qB,v115@DhB8IeB8GeC8FeE8JezJYaAFLDmClcJSAVDEHBEooR?BPoAVBseNFDKNBAAvhF6oBlmBxkB0lBOpBXrB,v115@DhB8IeB8GeC8FeE8Je0KYaAFLDmClcJSAVDEHBEooR?BaoAVBM+dgCKNBAAvhF6oBRmBlkBTmBOpBXqB,v115@DhB8IeB8GeC8FeE8JeXKYaAFLDmClcJSAVDEHBEooR?BToAVBM+dgCqXBAAvhF6oBRmBlkBTmBOpB0qB,v115@DhB8IeB8GeC8FeE8JemJYaAFLDmClcJSAVDEHBEooR?BKoAVBseltCvXBAAvhF6oBlmBxkBXmBTpB0qB,v115@DhB8IeB8GeC8FeE8JemJYaAFLDmClcJSAVDEHBEooR?BKoAVB6CegCT+AAAvhF0lB6oBlmBTpBXrBxuB,v115@DhB8IeB8GeC8FeE8JemJYaAFLDmClcJSAVDEHBEooR?BKoAVBseNFDTHBAAvhF6oBlmBxkB0lBXrBTpB
IZJLSOT,O,X,X,O,X,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IZJLOTS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IZJLOST,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IZJSTLO,O,X,X,O,X,X,O,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IZJSTOL,O,X,X,O,X,X,X,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IZJSLTO,O,X,X,O,X,X,O,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IZJSLOT,O,X,X,O,X,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IZJSOTL,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IZJSOLT,O,X,X,O,X,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IZJOTLS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IZJOTSL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZJOLTS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IZJOLST,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IZJOSTL,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IZJOSLT,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IZSTLJO,O,X,O,O,O,O,O,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,O,O,X,X,X
IZSTLOJ,O,X,O,O,O,O,O,O,X,X,X,O,X,X,X,X,X,O,X,X,O,X,X,O,O,X,X,X
IZSTJLO,O,X,O,O,O,O,O,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IZSTJOL,O,X,O,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSTOLJ,O,X,O,O,O,O,O,O,X,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X
IZSTOJL,O,X,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSLTJO,O,X,O,O,O,O,O,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,O,O,X,X,X
IZSLTOJ,O,X,O,O,O,O,O,O,X,X,X,O,X,X,X,X,X,O,X,X,O,X,X,O,O,X,X,X
IZSLJTO,O,X,X,O,O,X,O,O,O,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
IZSLJOT,O,X,X,O,O,X,X,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
IZSLOTJ,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X
IZSLOJT,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IZSJTLO,O,X,X,O,X,X,O,O,O,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
IZSJTOL,O,X,X,O,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IZSJLTO,O,X,X,O,O,X,O,O,O,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
IZSJLOT,O,X,X,O,O,X,X,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
IZSJOTL,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IZSJOLT,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IZSOTLJ,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X
IZSOTJL,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSOLTJ,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X
IZSOLJT,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IZSOJTL,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSOJLT,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOTLJS,O,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O,O,O,X,X,O,X,X,X,X
IZOTLSJ,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X
IZOTJLS,O,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X
IZOTJSL,O,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOTSLJ,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IZOTSJL,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOLTJS,O,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O,O,O,X,X,O,X,X,X,X
IZOLTSJ,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X
IZOLJTS,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X
IZOLJST,O,X,X,X,X,X,O,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IZOLSTJ,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IZOLSJT,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOJTLS,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X
IZOJTSL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOJLTS,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X
IZOJLST,O,X,X,X,X,X,O,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IZOJSTL,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IZOJSLT,O,X,X,X,X,X,O,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IZOSTLJ,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IZOSTJL,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOSLTJ,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IZOSLJT,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOSJTL,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOSJLT,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOTLJSZ,O,X,O,X,O,X,X,X,X,X,O,X,O,O,X,X,O,X,O,O,X,O,O,X,X,X,X,X
IOTLJZS,O,X,O,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,O,O,X,O,O,X,X,X,X,X
IOTLSJZ,X,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,O,X,O,O,X,O,O,X,X,X,X,X
IOTLSZJ,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,O,O,X,X,X,X,X
IOTLZJS,O,O,O,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,O,O,O,O,O,X,X,X,X,X
IOTLZSJ,O,O,O,X,X,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X,O,O,O,X,X,X,X,X
IOTJLSZ,O,X,O,X,O,X,X,X,X,X,O,X,O,O,X,X,O,X,O,O,X,O,O,X,X,X,X,X
IOTJLZS,O,X,O,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,O,O,X,O,O,X,X,X,X,X
IOTJSLZ,O,X,O,X,O,X,X,X,X,X,O,X,O,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X
IOTJSZL,O,X,O,X,X,X,X,X,X,X,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOTJZLS,O,X,O,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X
IOTJZSL,O,X,O,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOTSLJZ,X,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,O,X,O,O,X,O,O,X,X,X,X,X
IOTSLZJ,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,O,O,X,X,X,X,X
IOTSJLZ,X,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X
IOTSJZL,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOTSZLJ,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOTSZJL,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOTZLJS,O,O,O,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,O,O,O,O,O,X,X,X,X,X
IOTZLSJ,O,O,O,X,X,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X,O,O,O,X,X,X,X,X
IOTZJLS,O,O,O,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,O,O,O,X,X,X,X,X,X,X
IOTZJSL,O,O,O,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOTZSLJ,O,O,O,X,X,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X
IOTZSJL,X,O,O,X,X,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOLTJSZ,O,X,O,X,O,X,X,X,X,X,O,X,O,O,X,X,O,X,O,O,X,O,O,X,X,X,X,X
IOLTJZS,O,X,O,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,O,O,X,O,O,X,X,X,X,X
IOLTSJZ,X,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,O,X,O,O,X,O,O,X,X,X,X,X
IOLTSZJ,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,O,O,X,X,X,X,X
IOLTZJS,O,O,O,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,O,O,O,O,O,X,X,X,X,X
IOLTZSJ,O,O,O,X,X,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X,O,O,O,X,X,X,X,X
IOLJTSZ,O,X,X,X,X,X,X,X,X,X,O,X,O,O,X,X,X,X,O,O,X,O,O,X,X,X,X,X
IOLJTZS,O,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,O,O,X,O,O,X,X,X,X,X
IOLJSTZ,O,X,X,X,X,X,X,X,O,X,O,X,O,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X
IOLJSZT,O,X,X,X,X,X,X,X,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOLJZTS,O,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X
IOLJZST,O,X,X,X,X,X,O,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOLSTJZ,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X,O,O,X,O,O,X,O,X,X,X
IOLSTZJ,O,O,X,O,X,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X,O,O,X,O,X,X,X
IOLSJTZ,O,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X
IOLSJZT,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOLSZTJ,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOLSZJT,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOLZTJS,O,O,O,X,O,X,X,X,X,X,X,X,O,X,O,X,X,X,O,O,O,O,O,O,X,X,X,X
IOLZTSJ,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,X,X,X,X
IOLZJTS,O,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,O,O,O,X,X,X,X,X,X,X
IOLZJST,O,X,X,X,X,X,O,X,O,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IOLZSTJ,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IOLZSJT,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOJTLSZ,O,X,X,X,X,X,X,X,X,X,O,X,O,O,X,X,X,X,O,O,X,O,O,X,X,X,X,X
IOJTLZS,O,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,O,O,X,O,O,X,X,X,X,X
IOJTSLZ,O,X,X,X,X,X,X,X,X,X,O,X,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X
IOJTSZL,O,X,X,X,X,X,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOJTZLS,O,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X
IOJTZSL,O,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOJLTSZ,O,X,X,X,X,X,X,X,X,X,O,X,O,O,X,X,X,X,O,O,X,O,O,X,X,X,X,X
IOJLTZS,O,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,O,O,X,O,O,X,X,X,X,X
IOJLSTZ,O,X,X,X,X,X,X,X,O,X,O,X,O,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X
IOJLSZT,O,X,X,X,X,X,X,X,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOJLZTS,O,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X
IOJLZST,O,X,X,X,X,X,O,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOJSTLZ,O,X,X,X,X,X,X,X,O,X,O,X,O,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X
IOJSTZL,O,X,X,X,X,X,X,X,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOJSLTZ,O,X,X,X,X,X,X,X,O,X,O,X,O,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X
IOJSLZT,O,X,X,X,X,X,X,X,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOJSZTL,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOJSZLT,O,X,X,X,X,X,X,X,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOJZTLS,O,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X
IOJZTSL,O,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOJZLTS,O,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X
IOJZLST,O,X,X,X,X,X,O,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOJZSTL,O,X,X,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOJZSLT,O,X,X,X,X,X,O,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSTLJZ,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X,O,O,X,O,O,X,O,X,X,X
IOSTLZJ,O,O,X,O,X,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X,O,O,X,O,X,X,X
IOSTJLZ,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X
IOSTJZL,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOSTZLJ,O,O,X,O,X,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOSTZJL,O,O,X,O,X,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOSLTJZ,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X,O,O,X,O,O,X,O,X,X,X
IOSLTZJ,O,O,X,O,X,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X,O,O,X,O,X,X,X
IOSLJTZ,O,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X
IOSLJZT,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSLZTJ,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOSLZJT,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSJTLZ,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X
IOSJTZL,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSJLTZ,O,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X
IOSJLZT,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSJZTL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSJZLT,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSZTLJ,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOSZTJL,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOSZLTJ,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOSZLJT,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSZJTL,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSZJLT,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOZTLJS,O,O,O,X,O,X,X,X,X,X,X,X,O,X,O,X,X,X,O,O,O,O,O,O,X,X,X,X
IOZTLSJ,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,X,X,X,X
IOZTJLS,O,O,O,X,O,X,X,X,X,X,X,X,O,X,O,X,X,X,O,O,O,X,X,X,X,X,X,X
IOZTJSL,O,O,O,X,O,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOZTSLJ,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IOZTSJL,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOZLTJS,O,O,O,X,O,X,X,X,X,X,X,X,O,X,O,X,X,X,O,O,O,O,O,O,X,X,X,X
IOZLTSJ,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,X,X,X,X
IOZLJTS,O,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,O,O,O,X,X,X,X,X,X,X
IOZLJST,O,X,X,X,X,X,O,X,O,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IOZLSTJ,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IOZLSJT,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOZJTLS,O,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,O,O,O,X,X,X,X,X,X,X
IOZJTSL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOZJLTS,O,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,O,O,O,X,X,X,X,X,X,X
IOZJLST,O,X,X,X,X,X,O,X,O,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IOZJSTL,O,X,X,X,X,X,O,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IOZJSLT,O,X,X,X,X,X,O,X,O,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IOZSTLJ,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IOZSTJL,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOZSLTJ,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IOZSLJT,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOZSJTL,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
